"","sorted_reads.bam"
"100217426",3
"100217427",3
"100217428",2
"100217429",46
"100217430",1
"100217431",3
"100217432",4
"100217433",0
"100217434",3
"100217435",0
"100217436",0
"100217437",8
"100217438",4
"100217439",0
"100217440",1
"100217441",0
"100217442",8
"100217443",9
"100217444",2
"100217445",3
"100217446",14
"100217447",0
"100217448",2
"100217449",0
"100217450",0
"100217451",9
"100217452",0
"100217453",4
"100217454",3
"100217455",7
"100217456",4
"100217457",7
"100217458",0
"100217459",5
"100217460",1
"100217461",2
"100217462",0
"100217463",2
"100217464",4
"100217465",2
"100217466",5
"100217467",2
"100217468",4
"100217469",0
"100226",5798
"100233175",146
"100233207",0
"100233208",152
"100270707",14
"100270744",3
"100271704",3
"100271841",22
"100271882",2
"100271928",0
"100272219",4
"100272221",0
"100273",2076
"100286843",1
"100294583",23
"100294660",0
"100302498",1
"100302499",2
"100302529",8
"100302565",1
"100302567",5
"100302592",1
"100302593",1
"100302594",3
"100302600",1
"100302601",0
"100302634",0
"100302648",50
"100302688",3
"100302730",1387
"100302731",0
"100303644",1
"100303645",0
"100303646",1
"100303647",766
"100303731",4044
"100303732",126
"100303736",0
"100303738",0
"100303740",3
"100303744",1
"100303746",4
"100303747",0
"100303751",9
"100306943",0
"100306944",11
"100306945",7
"100306952",4
"100306954",7
"100306955",10
"100306957",0
"100310809",265
"100310813",11
"100310872",153
"100312470",0
"100312471",0
"100312473",0
"100312474",0
"100312475",0
"100312476",0
"100312477",0
"100312484",0
"100312485",0
"100312948",0
"100312949",0
"100312956",1
"100312986",0
"100312987",0
"100313519",0
"100313531",22
"100313943",0
"100316663",0
"100316664",0
"100316665",4
"100316667",0
"100316668",0
"100316669",22
"100316670",0
"100316671",0
"100316672",0
"100316673",0
"100316674",0
"100316675",0
"100316676",0
"100316677",0
"100316678",0
"100316679",0
"100316680",0
"100316681",24
"100316682",0
"100316683",0
"100316684",19
"100316685",0
"100316686",0
"100316687",0
"100316688",0
"100316689",0
"100316690",0
"100316693",1
"100316694",0
"100316695",0
"100316697",0
"100316698",0
"100316699",0
"100316700",2
"100316701",0
"100316702",0
"100316703",0
"100316704",0
"100316705",0
"100316706",1
"100316708",0
"100316709",0
"100316710",0
"100316711",0
"100316712",0
"100316713",0
"100316714",0
"100316715",0
"100316716",0
"100316717",2
"100316725",0
"100316727",0
"100316735",0
"100316736",0
"100316737",0
"100316739",0
"100316749",5
"100316751",0
"100316752",0
"100316753",0
"100316756",0
"100316769",0
"100316770",0
"100316772",0
"100316773",0
"100316774",0
"100316775",0
"100316776",0
"100316777",0
"100316778",0
"100316779",0
"100316783",0
"100316784",0
"100316802",0
"100316803",0
"100316804",0
"100316805",0
"100316806",0
"100316807",4
"100316808",0
"100316809",0
"100316810",0
"100316811",1
"100316812",1
"100316814",0
"100316815",0
"100316816",0
"100316818",0
"100316819",0
"100316820",2
"100316821",0
"100316827",0
"100316831",0
"100316832",0
"100316833",0
"100316834",0
"100316839",0
"100316840",1
"100316841",0
"100316903",20
"100316932",51
"100317",2934
"100322896",2
"100328588",3
"100336",1255
"100340",79
"100342",6
"100359413",5
"100379095",101
"100379145",1
"100379610",0
"100380944",95
"100382",48
"100383",2057
"100384868",3
"100384890",0
"100415784",0
"100415785",0
"100415787",49
"100415901",0
"100415902",0
"100415912",1
"100415914",0
"100415915",15
"100415916",8
"100416360",0
"100416477",202
"100416706",660
"100416830",0
"100416956",2
"100417125",3
"100417434",0
"100417514",1
"100417675",33
"100417829",7
"100417831",8
"100417973",0
"100418302",1
"100434",3514
"100462664",0
"100463512",7
"100463519",0
"100465",164
"100470",12
"100473",19
"100494",2281
"100499512",0
"100499513",0
"100499514",0
"100499517",25
"100499518",0
"100499519",0
"100499521",0
"100499523",0
"100499526",0
"100499528",1
"100499529",0
"100499530",132
"100500713",3
"100502590",23
"100502592",0
"100502597",0
"100502601",0
"100502602",0
"100502619",18
