"","sorted_reads_SRR14114310.bam"
"100049166",7
"100049545",0
"100049546",0
"100049547",0
"100049548",0
"100049549",1
"100049710",0
"100049711",0
"100049712",0
"100049713",0
"100049714",0
"100049715",0
"100061",8
"100066",0
"100072",10469
"100073351",57
"100087",192
"100088",240
"100090",204
"100093700",2
"100093714",4
"100101457",3
"100101484",9
"100101486",0
"100101488",0
"100101489",0
"100101491",0
"100101806",2240
"100101807",567
"100101919",195
"100101934",0
"100101936",3
"100101939",0
"100101940",0
"100101941",0
"100101942",0
"100102",100
"100113364",0
"100113365",1820
"100113394",0
"100113398",21
"100113411",0
"100113412",0
"100113413",0
"100113414",6
"100113481",0
"100114900",0
"100114901",0
"100114902",0
"100114904",0
"100115376",1
"100118398",0
"100121",1154
"100123473",6
"100124287",0
"100124288",0
"100124293",0
"100124294",0
"100124295",0
"100124296",0
"100124297",0
"100124333",0
"100124335",0
"100124336",0
"100124337",0
"100124338",0
"100124339",0
"100124340",0
"100124341",0
"100124342",0
"100124343",0
"100124344",0
"100124345",0
"100124346",0
"100124347",0
"100124348",0
"100124349",0
"100124351",0
"100124352",0
"100124353",0
"100124354",0
"100124355",0
"100124356",0
"100124357",0
"100124358",0
"100124359",0
"100124360",0
"100124361",0
"100124362",0
"100124363",0
"100124364",0
"100124365",0
"100124366",1
"100124367",0
"100124368",0
"100124369",0
"100124370",0
"100124371",0
"100124372",0
"100124387",0
"100124388",0
"100124389",0
"100124390",0
"100124391",0
"100124392",0
"100124393",0
"100124395",0
"100124396",0
"100124397",0
"100124398",0
"100124399",0
"100124400",0
"100124431",0
"100124432",0
"100124433",2
"100124435",0
"100124437",0
"100124438",4
"100124439",6
"100124440",0
"100124441",0
"100124442",0
"100124443",0
"100124445",0
"100124446",0
"100124447",0
"100124448",0
"100124449",0
"100124450",1
"100124451",0
"100124452",0
"100124453",3
"100124456",0
"100124457",0
"100124458",0
"100124459",0
"100124460",0
"100124461",0
"100124462",0
"100124463",0
"100124464",0
"100124465",0
"100124466",0
"100124467",0
"100124468",0
